Day,Source,Target,SNS Source,SNS Target
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-03,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-02,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,Gab__20,4Chan__1,Gab,4Chan
2021-01-01,Gab__20,4Chan__1,Gab,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2021-01-01,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-07,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-01,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-01,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-01,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-01,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-01,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-01,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-01,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-01,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-01,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-01,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-01,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-01,4Chan__1,4Chan__1,4Chan,4Chan
2020-12-01,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-27,4Chan__1,4Chan__1,4Chan,4Chan
2020-12-03,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-26,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-29,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-22,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-23,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-29,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-29,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-29,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-21,4Chan__1,4Chan__1,4Chan,4Chan
2020-12-03,4Chan__1,4Chan__1,4Chan,4Chan
2020-12-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-18,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-15,4Chan__1,4Chan__1,4Chan,4Chan
2020-12-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-26,4Chan__1,4Chan__1,4Chan,4Chan
2020-12-05,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-27,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-09,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-08,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-26,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-13,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-16,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-16,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-14,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-14,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-26,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-11,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-28,4Chan__1,4Chan__1,4Chan,4Chan
2020-12-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-12-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-12-04,4Chan__1,4Chan__1,4Chan,4Chan
2020-12-01,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-27,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-15,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-15,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-15,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-28,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-24,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-24,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-24,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-24,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-24,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-24,4Chan__1,4Chan__1,4Chan,4Chan
2020-11-05,TG__52,4Chan__1,TG,4Chan
2020-11-09,TG__122,4Chan__1,TG,4Chan
2020-11-05,TG__122,4Chan__1,TG,4Chan
2020-11-05,TG__122,4Chan__1,TG,4Chan
2020-12-01,TG__38,4Chan__1,TG,4Chan
2020-11-11,TG__219,4Chan__1,TG,4Chan
2020-11-11,TG__219,4Chan__1,TG,4Chan
2020-11-06,TG__208,4Chan__1,TG,4Chan
2020-11-05,TG__208,4Chan__1,TG,4Chan
2020-11-09,TG__222,4Chan__1,TG,4Chan
2020-11-06,TG__222,4Chan__1,TG,4Chan
2020-11-05,TG__222,4Chan__1,TG,4Chan
2020-11-24,TG__61,4Chan__1,TG,4Chan
2020-11-24,TG__72,4Chan__1,TG,4Chan
2020-11-06,TG__72,4Chan__1,TG,4Chan
2020-11-05,TG__72,4Chan__1,TG,4Chan
2020-11-06,TG__123,4Chan__1,TG,4Chan
2020-11-05,TG__123,4Chan__1,TG,4Chan
2020-12-01,TG__53,4Chan__1,TG,4Chan
2020-11-23,TG__53,4Chan__1,TG,4Chan
2020-11-13,TG__53,4Chan__1,TG,4Chan
2020-11-08,TG__53,4Chan__1,TG,4Chan
2020-11-06,TG__53,4Chan__1,TG,4Chan
2020-11-06,TG__53,4Chan__1,TG,4Chan
2020-11-24,TG__158,4Chan__1,TG,4Chan
2020-11-24,TG__158,4Chan__1,TG,4Chan
2020-11-06,TG__158,4Chan__1,TG,4Chan
2020-11-05,TG__158,4Chan__1,TG,4Chan
2021-01-10,TG__275,4Chan__1,TG,4Chan
2021-01-10,TG__275,4Chan__1,TG,4Chan
2021-01-10,TG__275,4Chan__1,TG,4Chan
2021-01-10,TG__275,4Chan__1,TG,4Chan
2021-01-10,TG__275,4Chan__1,TG,4Chan
2021-01-10,TG__275,4Chan__1,TG,4Chan
2021-01-10,TG__275,4Chan__1,TG,4Chan
2021-01-10,TG__275,4Chan__1,TG,4Chan
2021-01-10,TG__275,4Chan__1,TG,4Chan
2021-01-10,TG__275,4Chan__1,TG,4Chan
2021-01-10,TG__275,4Chan__1,TG,4Chan
2021-01-09,TG__280,4Chan__1,TG,4Chan
2021-01-09,TG__280,4Chan__1,TG,4Chan
2021-01-08,TG__280,4Chan__1,TG,4Chan
2020-12-19,TG__127,4Chan__1,TG,4Chan
2020-12-09,TG__218,4Chan__1,TG,4Chan
2020-12-09,TG__218,4Chan__1,TG,4Chan
2021-01-03,TG__122,4Chan__1,TG,4Chan
